Date,portfolio_value
2023-11-08,8349.663903042852
2023-11-09,8285.975351098303
2023-11-10,8444.206681365064
2023-11-13,8374.583310702814
2023-11-14,8780.21511798615
2023-11-15,8876.274632415563
2023-11-16,8777.224386139851
2023-11-17,8878.571082738881
2023-11-20,9011.56769513427
2023-11-21,8908.166646754516
2023-11-22,8922.772318562264
2023-11-27,8906.64683014719
2023-11-28,8967.577147348433
2023-11-29,8984.568986104257
2023-11-30,8868.201343223282
2023-12-01,9127.732947072454
2023-12-04,9120.188092404867
2023-12-05,9017.941911253662
2023-12-06,8940.635304627831
2023-12-07,9038.776725356596
2023-12-08,9166.638772196866
2023-12-11,9324.910040855711
2023-12-12,9346.88559536585
2023-12-13,9563.379632335798
2023-12-14,9867.081808375975
2023-12-15,9886.988516543328
2023-12-18,9968.919612921683
2023-12-19,10188.664662037849
2023-12-20,9887.687934526773
2023-12-21,10159.531385341794
2023-12-22,10119.107032317874
2023-12-26,10086.232214833082
2023-12-27,10095.019637146606
2023-12-28,10048.47799906771
2023-12-29,9887.839466793666
2024-01-02,9678.200833388493
2024-01-03,9394.475959320562
2024-01-04,9368.876018820847
2024-01-05,9364.9923928885
2024-01-08,9582.84370313007
2024-01-09,9531.74562382109
2024-01-10,9532.877420818593
2024-01-11,9494.792456503279
2024-01-12,9319.274509898083
2024-01-16,9293.113317850752
2024-01-17,9210.578228293876
2024-01-18,9261.412419566597
2024-01-19,9419.067655979276
2024-01-22,9586.104642690818
2024-01-23,9575.107256814612
2024-01-24,9515.078692486872
2024-01-25,9615.720149410965
2024-01-26,9624.011383517201
2024-01-29,9669.053214085972
2024-01-30,9467.220698936377
2024-01-31,9239.298789440749
2024-02-01,9378.654005233708
2024-02-02,9466.782872554568
2024-02-05,9355.063735305417
2024-02-06,9420.771798608246
2024-02-07,9462.635613503733
2024-02-08,9551.603178361102
2024-02-09,9739.156681003145
2024-02-12,9828.693617478373
2024-02-13,9496.278058907053
2024-02-14,9659.721426059497
2024-02-15,9689.395719086235
2024-02-16,9577.772497178195
2024-02-20,9422.668016410253
2024-02-21,9313.510610367966
2024-02-22,9607.78255981619
2024-02-23,9645.683682502344
2024-02-26,9706.63028142337
2024-02-27,9889.843393069896
2024-02-28,9977.7403940847
2024-02-29,10272.389832049274
2024-03-01,10400.544435413845
2024-03-04,10373.39426776869
2024-03-05,10185.742892700795
2024-03-06,10219.776146641361
2024-03-07,10287.414741143246
2024-03-08,10314.101021023647
2024-03-11,10305.462967461248
2024-03-12,10440.729945369816
2024-03-13,10479.389415636031
2024-03-14,10304.63870843643
2024-03-15,10220.970839568958
2024-03-18,10194.22021633305
2024-03-19,10250.38766804209
2024-03-20,10534.606330528684
2024-03-21,10686.856029592996
2024-03-22,10697.118842363776
2024-03-25,10636.44260570749
2024-03-26,10652.565676626831
2024-03-27,10823.752213450582
2024-03-28,10884.151254112036
2024-04-01,10822.090834959015
2024-04-02,10615.620115740787
2024-04-03,10664.415251498764
2024-04-04,10588.939350177377
2024-04-05,10708.679043069209
2024-04-08,10777.959701815587
2024-04-09,10911.369627804055
2024-04-10,10627.655413763507
2024-04-11,10807.449810755423
2024-04-12,10541.525676454283
2024-04-15,10286.417136423355
2024-04-16,10294.388253893112
2024-04-17,10137.454738003575
2024-04-18,10113.296288294601
2024-04-19,9967.751685710877
2024-04-22,10079.329900760333
2024-04-23,10333.940482019278
2024-04-24,10122.359179660452
2024-04-25,10141.763323725858
2024-04-26,10337.65477813968
2024-04-29,10375.404026631348
2024-04-30,10112.06014464724
2024-05-01,9987.779347998923
2024-05-02,10190.096563199131
2024-05-03,10417.404658557689
2024-05-06,10728.824211239496
2024-05-07,10754.0075651415
2024-05-08,10710.781169472895
2024-05-09,10750.853284989023
2024-05-10,10631.907998371578
2024-05-13,10643.991935491596
2024-05-14,10759.04604291702
2024-05-15,10853.14033442994
2024-05-16,10746.001139724443
2024-05-17,10614.250666133337
2024-05-20,10674.570771241833
2024-05-21,10596.97983157217
2024-05-22,10423.324279264327
2024-05-23,10376.460559656078
2024-05-24,10415.743199867731
2024-05-28,10548.560546826327
2024-05-29,10647.388869253873
2024-05-30,10585.636515317341
2024-05-31,10639.88437145386
2024-06-03,10736.51810402842
2024-06-04,10590.695953829825
2024-06-05,10822.09783822863
2024-06-06,10858.841349471013
2024-06-07,10684.415170556267
